,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, California (Million cubic feet)",529342,488353,537194,498601,472151,527495,464307,503473,497138,514276,514507,508697,479537,500968,520959,477495,473310,478904,549931,568496,516730,512695,510995,497955,512046,483699,491777,492378,489304,480721,494890,512565,477931,481773,397489,401172,411828,431005,423915,464672,
"Natural gas consumed by (delivered to) the commercial sector, California (Million cubic feet)",258151,236910,236202,215918,191838,205044,182794,212904,248397,259118,285090,287608,285008,250283,261989,278761,235068,253923,282153,244701,246439,245795,238308,232912,231597,233082,244432,251024,251045,247775,247997,246141,253148,254845,237675,235791,236967,237352,248012,255981,
"Natural gas consumed by the industrial sector, California (Million cubic feet)",486173,462502,362582,345221,421346,432859,427654,556251,486786,527534,587918,706870,686797,699536,675938,697784,702307,793722,818655,791970,840531,719121,784853,821105,875921,822121,791763,797977,787599,771892,770837,752982,789496,828649,834167,822801,816878,803207,807353,808070,
"Natural gas consumed by the electric power sector, California (Million cubic feet)",518808,655334,533832,465066,573001,666274,444226,643335,552938,654648,628785,628535,762932,673065,810674,602903,525035,595822,649087,723171,893377,973327,726627,705343,770517,689169,770836,834286,857867,808928,736092,616564,855342,825713,831522,805933,666017,600988,616008,568341,
"Total energy consumption per capita in the residential sector, California (Million Btu)",51.5,49.1,49.7,48.4,47.5,49.3,44.9,47.1,47.8,48.6,45.7,44.9,43.8,43.3,43.5,41.8,42.5,41.8,45.1,44.4,42,41.1,40.9,41.3,41.9,40.4,41.3,40.7,41.3,40.1,39.3,39.9,37.9,37.7,35.1,34.6,34.9,36,36.5,36.9,
"Electricity consumed by (i.e., sold to) the residential sector, California (Million kilowatthours)",52011,52798,51872,53873,56532,57501,57542,60368,64639,64347,66575,66017,68121,67359,68866,68783,71396,73086,75205,75303,79241,76668,77202,82926,83361,85610,89836,89158,91231,89799,87257,88398,90110,89242,89361,89386,88311,90124,89100,87524,
"Electricity consumed by (i.e., sold to) the residential sector per capita, California (Kilowatthours)",2185,2174,2090,2124,2187,2175,2123,2173,2271,2202,2222,2167,2199,2154,2187,2170,2230,2250,2280,2248,2331,2224,2214,2352,2343,2389,2494,2460,2492,2430,2338,2349,2375,2333,2316,2298,2256,2291,2259,2219,
"Distillate fuel oil consumed by the residential sector, California (Billion Btu)",550,418,418,740,868,839,1416,1408,1236,1419,1174,1154,1332,1337,1334,1019,860,925,982,996,1403,1708,854,702,829,906,890,554,839,2247,934,628,370,551,543,443,439,412,465,480,
"Propane consumed by the residential sector, California (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31725,30067,22728,22821,18804,21125,23006,22096,24078,25947,
"Distillate fuel oil consumed by the commercial sector, California (Billion Btu)",18785,21745,25613,39899,46776,19899,33412,33967,34232,27198,23846,25793,13247,13748,13550,18413,14896,14476,15463,15975,18063,16515,12744,10453,9676,11451,8594,10606,16453,20282,27279,24180,21730,20122,19282,20982,21149,21509,20776,20026,
"Electricity consumed by (i.e., sold to) the commercial sector, California (Million kilowatthours)",63465,67831,66415,62924,71379,73592,74727,77783,80737,83921,88311,86098,87849,86544,84529,86032,88605,92299,99067,95771,99900,107390,108972,109578,118953,117551,121255,123690,125026,121105,121152,122781,121792,116858,119494,118384,116775,117682,115786,114279,
"Total energy consumption per capita in the commercial sector, California (Million Btu)",45.6,46.6,43.8,39.6,41.4,40.8,39.6,40.9,42.2,43.7,43.8,42.6,41.7,39.6,38.5,39.7,38.9,40.1,43.3,40.1,39.8,41.9,41.7,40.4,43.2,41.4,42.2,42.4,42.9,41,40.5,40.9,39.2,37.4,37.1,37.6,37.3,37.4,38.3,37.2,
