,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in South Carolina, Annual (Dollars per Thousand Cubic Feet)",5.09,6.16,4.91,6.71,7.66,10.0,9.51,9.1,10.27,6.7,6.17,5.67,4.57,5.11,5.22,3.9,3.64,4.13,4.36,3.86
"South Carolina Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",9.15,12.09,9.73,11.02,12.0,14.84,17.36,17.15,16.84,14.91,13.01,12.93,13.25,12.61,12.65,12.62,12.62,14.47,13.46,13.14
"South Carolina Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",7.72,10.03,7.92,9.6,10.81,13.74,14.09,13.54,14.26,11.16,10.34,9.68,8.67,9.1,9.55,8.52,8.42,9.32,9.37,8.58
"Electricity price in the residential sector, South Carolina (Dollars per million Btu)",22.22,22.53,22.64,23.48,23.8,25.42,26.46,26.92,28.98,30.61,30.77,32.4,34.49,35.15,36.49,36.84,37.08,38.15,36.46,38.08
"Electricity price in the commercial sector, South Carolina (Dollars per million Btu)",18.59,18.88,19.0,19.95,20.25,21.66,22.29,22.7,24.69,25.61,26.08,27.25,28.22,28.95,30.12,29.94,30.12,30.99,29.63,31.0
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),7.557109331443969,8.895191423504027,6.978802281685913,9.322997989130435,10.366432231562454,13.092483624985276,12.062334563748399,11.220205552125936,12.197479768087932,7.983012606902338,7.233161879344816,6.444661106245248,5.088873929595009,5.607965718259555,5.637617641467587,4.206912599893671,3.877323055769671,4.307188213889432,4.439021114925409,3.86
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),13.58498042882364,17.45825719320839,13.829683543951921,15.311391630434782,16.23984161602473,19.429245699478148,22.019151212058066,21.145772002083493,20.00054131398255,17.76518178640505,15.251772455474239,14.696555221120114,14.754393778366275,13.83883516775988,13.662042751832372,13.613137695040546,13.442806858190453,15.090802289341426,13.703950506168809,13.14
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),11.461863268909124,14.483566554828796,11.257049708951614,13.338417391304349,14.629390655768946,17.98907250072977,17.871534595501046,16.6946794698665,16.936325364453158,13.297077715377624,12.121700783213191,11.002525486499824,9.654384457240422,9.986788265393727,10.314032275098748,9.19048598746002,8.968972563071603,9.719853305919978,9.539822900653917,8.58
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),32.98997433097937,32.53387382654963,32.17924310740714,32.62354586956522,32.209019205115716,33.281093374712576,33.56144821837883,33.19208060035497,34.418983805178996,36.47164416377321,36.07202447770502,36.826634892829986,38.40596538987568,38.57534148665819,39.40932332129354,39.73914363591868,39.49756563404929,39.78673858592781,37.12080501150927,38.08
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),27.60052307888868,27.263184103207145,27.005548544202107,27.71889864130435,27.404732727041733,28.35831953171811,28.272285744053818,27.988864399259203,29.323834028635936,30.51417206906998,30.573883600212767,30.973018544123985,31.424074900037454,31.771156075071254,32.529701793295736,32.296144420722186,32.08378308785233,32.319555144899155,30.16701734753208,31.0
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
